"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Upadhyay R.; Knoth P.; Pasi G.; Viviani M.","Upadhyay, Rishabh (57231318200); Knoth, Petr (36028520200); Pasi, Gabriella (7003307397); Viviani, Marco (13410043100)","57231318200; 36028520200; 7003307397; 13410043100","Explainable online health information truthfulness in Consumer Health Search","2023","Frontiers in Artificial Intelligence","6","","1184851","","","","1","10.3389/frai.2023.1184851","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161702064&doi=10.3389%2ffrai.2023.1184851&partnerID=40&md5=c0f0962e3b443ff0eac8a95284cf664c","Introduction: People are today increasingly relying on health information they find online to make decisions that may impact both their physical and mental wellbeing. Therefore, there is a growing need for systems that can assess the truthfulness of such health information. Most of the current literature solutions use machine learning or knowledge-based approaches treating the problem as a binary classification task, discriminating between correct information and misinformation. Such solutions present several problems with regard to user decision making, among which: (i) the binary classification task provides users with just two predetermined possibilities with respect to the truthfulness of the information, which users should take for granted; indeed, (ii) the processes by which the results were obtained are often opaque and the results themselves have little or no interpretation. Methods: To address these issues, we approach the problem as an ad hoc retrieval task rather than a classification task, with reference, in particular, to the Consumer Health Search task. To do this, a previously proposed Information Retrieval model, which considers information truthfulness as a dimension of relevance, is used to obtain a ranked list of both topically-relevant and truthful documents. The novelty of this work concerns the extension of such a model with a solution for the explainability of the results obtained, by relying on a knowledge base consisting of scientific evidence in the form of medical journal articles. Results and discussion: We evaluate the proposed solution both quantitatively, as a standard classification task, and qualitatively, through a user study to examine the “explained” ranked list of documents. The results obtained illustrate the solution's effectiveness and usefulness in making the retrieved results more interpretable by Consumer Health Searchers, both with respect to topical relevance and truthfulness. Copyright © 2023 Upadhyay, Knoth, Pasi and Viviani.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85161702064"
"Shaikh T.A.; Rasool T.; Rasool A.","Shaikh, Tawseef Ayoub (57193888269); Rasool, Tabasum (57216812426); Rasool, Abrar (58190028200)","57193888269; 57216812426; 58190028200","Explainable artificial intelligence in smart health care systems","2022","AI-Enabled IoT for Smart Health Care Systems","","","","175","214","39","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152977910&partnerID=40&md5=d67b284a160e7550e447963ec0d63438","Introduction: With recent breakthroughs in organized and amorphous data and rapid growth in analysis methodologies, Artificial Intelligence (AI) is causing a revolution in the health care industry. The value of Artificial Intelligence in health care is becoming recognized at the same time that people are becoming concerned about the models' possible lack of explainability and bias. This discusses the concept of explainable artificial intelligence (XAI), which enhances a system's trustworthiness, resulting in more widespread AI adoption in health care. In this chapter, we discuss several perspectives on explainable artificial intelligence principles, as well as the understandability and interpretability of explainable AI systems, with a particular focus on the health care sector. This chapter uses AI explainability as a way to help build trustworthiness in the medical domain and takes a look at the recent developments in the area of explainable AI, which encourages creativity and at times are necessary in practice to raise awareness. The goal is to teach health care providers about the interpretability and understandability of explainable AI systems. © 2023 by Nova Science Publishers, Inc. All rights reserved.","Book chapter","Final","","Scopus","2-s2.0-85152977910"
"Jeyashree G.; Padmavathi S.","Jeyashree, G. (57564258700); Padmavathi, S. (19933819300)","57564258700; 19933819300","IHAR—A fog-driven interpretable human activity recognition system","2022","Transactions on Emerging Telecommunications Technologies","33","9","e4506","","","","2","10.1002/ett.4506","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127716187&doi=10.1002%2fett.4506&partnerID=40&md5=c6537b7d3f03e1ec8fb52fdf015006e5","Human activity recognition (HAR) is an active research area that is currently being applied to various healthcare applications such as fall detection, assisted living, etc. These applications make use of the Internet of Things which is widespread across today's world. One of the major challenges in these applications is the need for quick intelligent decisions. The deployment of hierarchical edge-fog-cloud computing architecture is the potential solution to address the latency issue. In this article, we proposed an interpretable human activity recognition (IHAR) framework that supports HAR, leveraging the advantages of the fog layer. The proposed framework used a deep learning (DL) model at the cloud infrastructure to classify the activities of humans. The trained DL model is made to run on local fog nodes. However, the DL model being black-box does not provide any explanations for the output to make them acceptable by the users and physicians. Hence, this article also incorporated an explainable artificial intelligence model at the fog layer, to gain insights into the classified output of the DL model. The effective model-level insights emphasized the need for explainable HAR. The article also included an analysis of the results of the existing explainable AI models such as LIME and SHAP to understand which model leads to better performance in the domain of HAR. Results show that the SHAP model has a 33% higher success rate in generating explanations when compared to the LIME model. © 2022 John Wiley & Sons, Ltd.","Article","Final","","Scopus","2-s2.0-85127716187"
"Sokhansanj B.A.; Zhao Z.; Rosen G.L.","Sokhansanj, Bahrad A. (55885818400); Zhao, Zhengqiao (57201860478); Rosen, Gail L. (9335288900)","55885818400; 57201860478; 9335288900","Interpretable and Predictive Deep Neural Network Modeling of the SARS-CoV-2 Spike Protein Sequence to Predict COVID-19 Disease Severity","2022","Biology","11","12","1786","","","","3","10.3390/biology11121786","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144727503&doi=10.3390%2fbiology11121786&partnerID=40&md5=acabefda3b5587144e92217ab49b22d4","Through the COVID-19 pandemic, SARS-CoV-2 has gained and lost multiple mutations in novel or unexpected combinations. Predicting how complex mutations affect COVID-19 disease severity is critical in planning public health responses as the virus continues to evolve. This paper presents a novel computational framework to complement conventional lineage classification and applies it to predict the severe disease potential of viral genetic variation. The transformer-based neural network model architecture has additional layers that provide sample embeddings and sequence-wide attention for interpretation and visualization. First, training a model to predict SARS-CoV-2 taxonomy validates the architecture’s interpretability. Second, an interpretable predictive model of disease severity is trained on spike protein sequence and patient metadata from GISAID. Confounding effects of changing patient demographics, increasing vaccination rates, and improving treatment over time are addressed by including demographics and case date as independent input to the neural network model. The resulting model can be interpreted to identify potentially significant virus mutations and proves to be a robust predctive tool. Although trained on sequence data obtained entirely before the availability of empirical data for Omicron, the model can predict the Omicron’s reduced risk of severe disease, in accord with epidemiological and experimental data. © 2022 by the authors.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85144727503"
"Byeon H.","Byeon, Haewon (36452769600)","36452769600","Advances in Machine Learning and Explainable Artificial Intelligence for Depression Prediction","2023","International Journal of Advanced Computer Science and Applications","14","6","","520","526","6","3","10.14569/IJACSA.2023.0140656","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165013433&doi=10.14569%2fIJACSA.2023.0140656&partnerID=40&md5=dfd4dbcca832bbd47521828404971591","There is a growing interest in applying AI technology in the field of mental health, particularly as an alternative to complement the limitations of human analysis, judgment, and accessibility in mental health assessments and treatments. The current mental health treatment service faces a gap in which individuals who need help are not receiving it due to negative perceptions of mental health treatment, lack of professional manpower, and physical accessibility limitations. To overcome these difficulties, there is a growing need for a new approach, and AI technology is being explored as a potential solution. Explainable artificial intelligence (X-AI) with both accuracy and interpretability technology can help improve the accuracy of expert decision-making, increase the accessibility of mental health services, and solve the psychological problems of high-risk groups of depression. In this review, we examine the current use of X-AI technology in mental health assessments for depression. As a result of reviewing 6 studies that used X-AI to discriminate high-risk groups of depression, various algorithms such as SHAP (SHapley Additive exPlanations) and Local Interpretable Model-Agnostic Explanation (LIME) were used for predicting depression. In the field of psychiatry, such as predicting depression, it is crucial to ensure AI prediction justifications are clear and transparent. Therefore, ensuring interpretability of AI models will be important in future research. © 2023, International Journal of Advanced Computer Science and Applications. All Rights Reserved.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85165013433"
"Allen B.; Lane M.; Steeves E.A.; Raynor H.","Allen, Ben (57853800500); Lane, Morgan (57853691700); Steeves, Elizabeth Anderson (55535115700); Raynor, Hollie (6602547633)","57853800500; 57853691700; 55535115700; 6602547633","Using Explainable Artificial Intelligence to Discover Interactions in an Ecological Model for Obesity","2022","International Journal of Environmental Research and Public Health","19","15","9447","","","","4","10.3390/ijerph19159447","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136342022&doi=10.3390%2fijerph19159447&partnerID=40&md5=34aac9d48d7766c189287c76eb95d2fe","Ecological theories suggest that environmental, social, and individual factors interact to cause obesity. Yet, many analytic techniques, such as multilevel modeling, require manual specification of interacting factors, making them inept in their ability to search for interactions. This paper shows evidence that an explainable artificial intelligence approach, commonly employed in genomics research, can address this problem. The method entails using random intersection trees to decode interactions learned by random forest models. Here, this approach is used to extract interactions between features of a multi-level environment from random forest models of waist-to-height ratios using 11,112 participants from the Adolescent Brain Cognitive Development study. This study shows that methods used to discover interactions between genes can also discover interacting features of the environment that impact obesity. This new approach to modeling ecosystems may help shine a spotlight on combinations of environmental features that are important to obesity, as well as other health outcomes. © 2022 by the authors.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85136342022"
"Maqsood S.; Damaševičius R.; Maskeliūnas R.","Maqsood, Sarmad (57212142651); Damaševičius, Robertas (6603451290); Maskeliūnas, Rytis (27467587600)","57212142651; 6603451290; 27467587600","Multi-Modal Brain Tumor Detection Using Deep Neural Network and Multiclass SVM","2022","Medicina (Lithuania)","58","8","1090","","","","96","10.3390/medicina58081090","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136629340&doi=10.3390%2fmedicina58081090&partnerID=40&md5=535fd38c4a147afdfd3b6e410863e4ef","Background and Objectives: Clinical diagnosis has become very significant in today’s health system. The most serious disease and the leading cause of mortality globally is brain cancer which is a key research topic in the field of medical imaging. The examination and prognosis of brain tumors can be improved by an early and precise diagnosis based on magnetic resonance imaging. For computer-aided diagnosis methods to assist radiologists in the proper detection of brain tumors, medical imagery must be detected, segmented, and classified. Manual brain tumor detection is a monotonous and error-prone procedure for radiologists; hence, it is very important to implement an automated method. As a result, the precise brain tumor detection and classification method is presented. Materials and Methods: The proposed method has five steps. In the first step, a linear contrast stretching is used to determine the edges in the source image. In the second step, a custom 17-layered deep neural network architecture is developed for the segmentation of brain tumors. In the third step, a modified MobileNetV2 architecture is used for feature extraction and is trained using transfer learning. In the fourth step, an entropy-based controlled method was used along with a multiclass support vector machine (M-SVM) for the best features selection. In the final step, M-SVM is used for brain tumor classification, which identifies the meningioma, glioma and pituitary images. Results: The proposed method was demonstrated on BraTS 2018 and Figshare datasets. Experimental study shows that the proposed brain tumor detection and classification method outperforms other methods both visually and quantitatively, obtaining an accuracy of 97.47% and 98.92%, respectively. Finally, we adopt the eXplainable Artificial Intelligence (XAI) method to explain the result. Conclusions: Our proposed approach for brain tumor detection and classification has outperformed prior methods. These findings demonstrate that the proposed approach obtained higher performance in terms of both visually and enhanced quantitative evaluation with improved accuracy. © 2022 by the authors.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85136629340"
"Lessage X.; Nedoszytko M.; Mahmoudi S.; Marey L.; Debauche O.; Mahmoudi S.A.","Lessage, Xavier (57249163400); Nedoszytko, Michal (57246533700); Mahmoudi, Saïd (16177658000); Marey, Lilian (57966119400); Debauche, Olivier (57195530506); Mahmoudi, Sidi Ahmed (55410455500)","57249163400; 57246533700; 16177658000; 57966119400; 57195530506; 55410455500","A New Coronary Artery Stenosis Detection Method with a Hybrid LSTM-CNN Model","2023","Lecture Notes in Networks and Systems","635 LNNS","","","70","77","7","1","10.1007/978-3-031-26254-8_10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151163909&doi=10.1007%2f978-3-031-26254-8_10&partnerID=40&md5=b8f389ef78bb27b4cd7af60b1e2f8584","Screening for coronary artery disease is a major health issue, knowing that the most common cause of death in industrialized countries is cardiovascular pathology (coronary artery disease, stroke, other cardiovascular diseases). Computer Aided Diagnosis systems (CADx) can assist cardiologists to and play a key role in detecting abnormalities and treating coronary arteries. In this paper we propose a deep learning classification method based on a new Hybrid CNN-LSTM Architecture. The aim of our method is to detect the presence of stenosis in the coronary arteries and to classify the type of arteries. Our experiments have been conducted using an anonymized database from a Belgian hospital (CHR Mons-Hainaut) thanks to a retrospective study. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Conference paper","Final","","Scopus","2-s2.0-85151163909"
"Aljameel S.S.","Aljameel, Sumayh S. (57193404866)","57193404866","A Proactive Explainable Artificial Neural Network Model for the Early Diagnosis of Thyroid Cancer","2022","Computation","10","10","183","","","","2","10.3390/computation10100183","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140652714&doi=10.3390%2fcomputation10100183&partnerID=40&md5=3188e8bcde1a1a3d33657dd6d40dfbf0","Early diagnosis of thyroid cancer can reduce mortality, and can decrease the risk of recurrence, side effects, or the need for lengthy surgery. In this study, an explainable artificial neural network (EANN) model was developed to distinguish between malignant and benign nodules and to understand the factors that are predictive of malignancy. The study was conducted using the records of 724 patients who were admitted to Shengjing Hospital of China Medical University. The dataset contained the patients’ demographic information, nodule characteristics, blood test findings, and thyroid characteristics. The performance of the model was evaluated using the metrics of accuracy, sensitivity, specificity, F1 score, and area under the curve (AUC). The SMOTEENN combined sampling method was used to correct for a significant imbalance between malignant and benign nodules in the dataset. The proposed model outperformed a baseline study, with an accuracy of 0.99 and an AUC of 0.99. The proposed EANN model can assist health care professionals by enabling them to make effective early cancer diagnoses. © 2022 by the author.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85140652714"
"Volkov E.N.; Averkin A.N.","Volkov, Egor N. (58493887900); Averkin, Aleksej N. (57192557075)","58493887900; 57192557075","Explainable Artificial Intelligence in Medical Image Analysis: State of the Art and Prospects","2023","Proceedings of 2023 26th International Conference on Soft Computing and Measurements, SCM 2023","","","","134","137","3","2","10.1109/SCM58628.2023.10159033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165160205&doi=10.1109%2fSCM58628.2023.10159033&partnerID=40&md5=a0923c5bdc44a13387b786b28fdb9681","to increase transparency in the work of artificial intelligence systems in the analysis of medical images is called to use methods of explainable artificial intelligence. Our study provides an overview of the current state of application of explainable artificial intelligence methods for medical image analysis, and also considers potentially promising approaches to improving the technology. © 2023 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85165160205"
"Giuste F.; Shi W.; Zhu Y.; Naren T.; Isgut M.; Sha Y.; Tong L.; Gupte M.; Wang M.D.","Giuste, Felipe (55427597100); Shi, Wenqi (57220119218); Zhu, Yuanda (57211216027); Naren, Tarun (57220119335); Isgut, Monica (57194205970); Sha, Ying (56763552300); Tong, Li (57188816402); Gupte, Mitali (57392544400); Wang, May D. (10739831700)","55427597100; 57220119218; 57211216027; 57220119335; 57194205970; 56763552300; 57188816402; 57392544400; 10739831700","Explainable Artificial Intelligence Methods in Combating Pandemics: A Systematic Review","2023","IEEE Reviews in Biomedical Engineering","16","","","5","21","16","26","10.1109/RBME.2022.3185953","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133767411&doi=10.1109%2fRBME.2022.3185953&partnerID=40&md5=b7fd325e1596b2fa6a51abe24ba3ec78","Despite the myriad peer-reviewed papers demonstrating novel Artificial Intelligence (AI)-based solutions to COVID-19 challenges during the pandemic, few have made a significant clinical impact, especially in diagnosis and disease precision staging. One major cause for such low impact is the lack of model transparency, significantly limiting the AI adoption in real clinical practice. To solve this problem, AI models need to be explained to users. Thus, we have conducted a comprehensive study of Explainable Artificial Intelligence (XAI) using PRISMA technology. Our findings suggest that XAI can improve model performance, instill trust in the users, and assist users in decision-making. In this systematic review, we introduce common XAI techniques and their utility with specific examples of their application. We discuss the evaluation of XAI results because it is an important step for maximizing the value of AI-based clinical decision support systems. Additionally, we present the traditional, modern, and advanced XAI models to demonstrate the evolution of novel techniques. Finally, we provide a best practice guideline that developers can refer to during the model experimentation. We also offer potential solutions with specific examples for common challenges in AI model experimentation. This comprehensive review, hopefully, can promote AI adoption in biomedicine and healthcare.  © 2008-2011 IEEE.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85133767411"
"Szymanski M.; Verbert K.; Abeele V.V.","Szymanski, Maxwell (57223024617); Verbert, Katrien (13605498800); Abeele, Vero Vanden (23984073500)","57223024617; 13605498800; 23984073500","Designing and evaluating explainable AI for non-AI experts: challenges and opportunities","2022","RecSys 2022 - Proceedings of the 16th ACM Conference on Recommender Systems","","","","735","736","1","3","10.1145/3523227.3547427","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139553621&doi=10.1145%2f3523227.3547427&partnerID=40&md5=47b4540869e6796367dc95743c83526c","Artificial intelligence (AI) has seen a steady increase in use in the health and medical field, where it is used by lay users and health experts alike. However, these AI systems often lack transparency regarding the inputs and decision making process (often called black boxes), which in turn can be detrimental to the user's satisfaction and trust towards these systems. Explainable AI (XAI) aims to overcome this problem by opening up certain aspects of the black box, and has proven to be a successful means of increasing trust, transparency and even system effectiveness. However, for certain groups (i.e. lay users in health), explanation methods and evaluation metrics still remain underexplored. In this paper, we will outline our research regarding designing and evaluating explanations for health recommendations for lay users and domain experts, as well as list a few takeaways we were already able to find in our initial studies.  © 2022 Owner/Author.","Conference paper","Final","","Scopus","2-s2.0-85139553621"
"Basahel A.M.; Yamin M.","Basahel, Abdullah M. (26435660300); Yamin, Mohammad (6701534154)","26435660300; 6701534154","Quantum Inspired Differential Evolution with Explainable Artificial Intelligence-Based COVID-19 Detection","2023","Computer Systems Science and Engineering","46","1","","209","224","15","0","10.32604/csse.2023.034449","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147446461&doi=10.32604%2fcsse.2023.034449&partnerID=40&md5=1b82533acceecf0d026cdc09e8faa4bf","Recent advancements in the Internet of Things (Io), 5G networks, and cloud computing (CC) have led to the development of Human-centric IoT (HIoT) applications that transform human physical monitoring based on machine monitoring. The HIoT systems find use in several applications such as smart cities, healthcare, transportation, etc. Besides, the HIoT system and explainable artificial intelligence (XAI) tools can be deployed in the healthcare sector for effective decision-making. The COVID-19 pandemic has become a global health issue that necessitates automated and effective diagnostic tools to detect the disease at the initial stage. This article presents a new quantum-inspired differential evolution with explainable artificial intelligence based COVID-19 Detection and Classification (QIDEXAI-CDC) model for HIoT systems. The QIDEXAI-CDC model aims to identify the occurrence of COVID-19 using the XAI tools on HIoT systems. The QIDEXAI-CDC model primarily uses bilateral filtering (BF) as a preprocessing tool to eradicate the noise. In addition, RetinaNet is applied for the generation of useful feature vectors from radiological images. For COVID-19 detection and classification, quantum-inspired differential evolution (QIDE) with kernel extreme learning machine (KELM) model is utilized. The utilization of the QIDE algorithm helps to appropriately choose the weight and bias values of the KELM model. In order to report the enhanced COVID-19 detection outcomes of the QIDEXAI-CDC model, a wide range of simulations was carried out. Extensive comparative studies reported the supremacy of the QIDEXAI-CDC model over the recent approaches. © 2023 Authors. All rights reserved.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85147446461"
"","","","21st International Conference on Artificial Intelligence in Medicine, AIME 2023","2023","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","13897 LNAI","","","","","383","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163962413&partnerID=40&md5=0138af810fcca3f41792b84b08448a3b","The proceedings contain 47 papers. The special focus in this conference is on Artificial Intelligence in Medicine. The topics include: Management of Patient and Physician Preferences and Explanations for Participatory Evaluation of Treatment with an Ethical Seal; causal Discovery with Missing Data in a Multicentric Clinical Study; novel Approach for Phenotyping Based on Diverse Top-K Subgroup Lists; patient Event Sequences for Predicting Hospitalization Length of Stay; Autoencoder-Based Prediction of ICU Clinical Codes; Hospital Length of Stay Prediction Based on Multi-modal Data Towards Trustworthy Human-AI Collaboration in Radiomics; preface; survival Hierarchical Agglomerative Clustering: A Semi-Supervised Clustering Method Incorporating Survival Data; explainable Artificial Intelligence for Cytological Image Analysis; federated Learning to Improve Counterfactual Explanations for Sepsis Treatment Prediction; Explainable AI for Medical Event Prediction for Heart Failure Patients; adversarial Robustness and Feature Impact Analysis for Driver Drowsiness Detection; Computational Evaluation of Model-Agnostic Explainable AI Using Local Feature Importance in Healthcare; batch Integrated Gradients: Explanations for Temporal Electronic Health Records; improving Stroke Trace Classification Explainability Through Counterexamples; spatial Knowledge Transfer with Deep Adaptation Network for Predicting Hospital Readmission; dealing with Data Scarcity in Rare Diseases: Dynamic Bayesian Networks and Transfer Learning to Develop Prognostic Models of Amyotrophic Lateral Sclerosis; a Rule-Free Approach for Cardiological Registry Filling from Italian Clinical Notes with Question Answering Transformers; boosted Random Forests for Predicting Treatment Failure of Chemotherapy Regimens; classification of Fall Types in Parkinson's Disease from Self-report Data Using Natural Language Processing; BERT for Complex Systematic Review Screening to Support the Future of Medical Research; GGTWEAK: Gene Tagging with Weak Supervision for German Clinical Text; soft-Prompt Tuning to Predict Lung Cancer Using Primary Care Free-Text Dutch Medical Notes; machine Learning Models for Automatic Gene Ontology Annotation of Biological Texts; COVID-19 Diagnosis in 3D Chest CT Scans with Attention-Based Models.","Conference review","Final","","Scopus","2-s2.0-85163962413"
"Tešić M.; Hahn U.","Tešić, Marko (57195308697); Hahn, Ulrike (57205216629)","57195308697; 57205216629","Can counterfactual explanations of AI systems’ predictions skew lay users’ causal intuitions about the world? If so, can we correct for that?","2022","Patterns","3","12","100635","","","","3","10.1016/j.patter.2022.100635","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145782032&doi=10.1016%2fj.patter.2022.100635&partnerID=40&md5=f356227930d1425e3fb694633c775f6c","Counterfactual (CF) explanations have been employed as one of the modes of explainability in explainable artificial intelligence (AI)—both to increase the transparency of AI systems and to provide recourse. Cognitive science and psychology have pointed out that people regularly use CFs to express causal relationships. Most AI systems, however, are only able to capture associations or correlations in data, so interpreting them as casual would not be justified. In this perspective, we present two experiments (total n = 364) exploring the effects of CF explanations of AI systems’ predictions on lay people's causal beliefs about the real world. In Experiment 1, we found that providing CF explanations of an AI system's predictions does indeed (unjustifiably) affect people's causal beliefs regarding factors/features the AI uses and that people are more likely to view them as causal factors in the real world. Inspired by the literature on misinformation and health warning messaging, Experiment 2 tested whether we can correct for the unjustified change in causal beliefs. We found that pointing out that AI systems capture correlations and not necessarily causal relationships can attenuate the effects of CF explanations on people's causal beliefs. © 2022 The Author(s)","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85145782032"
"Tharmakulasingam M.; Wang W.; Kerby M.; Ragione R.L.; Fernando A.","Tharmakulasingam, Mukunthan (57216134064); Wang, Wenwu (56100717600); Kerby, Michael (58496337100); Ragione, Roberto La (57214258681); Fernando, Anil (57957434000)","57216134064; 56100717600; 58496337100; 57214258681; 57957434000","TransAMR: An Interpretable Transformer Model for Accurate Prediction of Antimicrobial Resistance Using Antibiotic Administration Data","2023","IEEE Access","11","","","75337","75350","13","0","10.1109/ACCESS.2023.3296221","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165260176&doi=10.1109%2fACCESS.2023.3296221&partnerID=40&md5=a0267f04ec00d777bf4186678cd8b83e","Antimicrobial Resistance (AMR) is a growing public and veterinary health concern, and the ability to accurately predict AMR from antibiotics administration data is crucial for effectively treating and managing infections. While genomics-based approaches can provide better results, sequencing, assembling, and applying Machine Learning (ML) methods can take several hours. Therefore, alternative approaches are required. This study focused on using ML for antimicrobial stewardship by utilising data extracted from hospital electronic health records, which can be done in real-time, and developing an interpretable 1D-Transformer model for predicting AMR. A multi-baseline Integrated Gradient pipeline was also incorporated to interpret the model, and quantitative validation metrics were introduced to validate the model. The performance of the proposed 1D-Transformer model was evaluated using a dataset of urinary tract infection (UTI) patients with four antibiotics. The proposed 1D-Transformer model achieved 10% higher area under curve (AUC) in predicting AMR and outperformed traditional ML models. The Explainable Artificial Intelligence (XAI) pipeline also provided interpretable results, identifying the signatures contributing to the predictions. This could be used as a decision support tool for personalised treatment, introducing AMR-aware food and management of AMR, and it could also be used to identify signatures for targeted interventions.  © 2013 IEEE.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85165260176"
"Sharma M.; Lodhi H.; Yadav R.; Sampathila N.; Swathi K.S.; Acharya U.R.","Sharma, Manish (7403269252); Lodhi, Harsh (58171388700); Yadav, Rishita (58172175100); Sampathila, Niranjana (56584740000); Swathi, K.S. (58880972700); Acharya, U. Rajendra (7004510847)","7403269252; 58171388700; 58172175100; 56584740000; 58880972700; 7004510847","Automated Explainable Detection of Cyclic Alternating Pattern (CAP) Phases and Sub-Phases Using Wavelet-Based Single-Channel EEG Signals","2023","IEEE Access","11","","","50946","50961","15","5","10.1109/ACCESS.2023.3278800","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161024532&doi=10.1109%2fACCESS.2023.3278800&partnerID=40&md5=2a7a66f2822fb241b56a7e693d2d92c4","Sleep is a crucial component of health and well-being. It maintains the metabolism of the body and covers one-third of total life. The assessment of sleep quality is typically done by evaluating the macrostructure-based sleep stages, however, it does not take into account transient phenomena like K-complexes and transient fluctuations, which are crucial for the diagnosis of various sleep disorders. Cyclic alternating pattern (CAP) is a recurrent physiological electroencephalogram (EEG) activity that takes place in the brain during sleep and it is considered as a microstructure of sleep that can provide more accurate and relevant evaluation of sleep. The traditional way of CAP phase division is done manually by sleep specialists, which is sensitive, time-consuming, and prone to inaccuracies. Hence, there is a need for automated detection techniques that can solve the problems. This study proposes an automated, computerized approach for developing a machine learning model with explainable artificial intelligence (XAI) capabilities, using wavelet-based Hjorth parameters for classifying CAP A & B phases and phases A sub-phases (A1, A2, A3). The study utilizes SHAP (SHapley Additive exPlanations)-based feature ranking to provide insights into the model. This study uses the publicly accessible Physionet CAP sleep database. The model is developed using single-channel standardized EEG recordings from healthy subjects and patients with five types of sleep disorders, namely, insomnia, nocturnal frontal lobe epilepsy (NFLE), periodic leg movement disorder (PLM), rapid eye movement behavior disorder (RBD) and narcolepsy. The best performance is obtained using k-nearest neighbors (KNN) and ensemble bagged trees (EbagT) classifiers. The proposed model achieved a average classification accuracy of 91.6% for healthy subjects and 94.33%, 86.3%, 88.68%, 84.43%, and 88.5% for narcolepsy, RBD, PLM, NFLE, and insomnia subjects respectively, for classifying phases A and B. Our model achieved a average classification accuracy of 92.85% for healthy subjects and 93.9%, 84.9%, 88.0%, 80.92%, and 89.41% for narcolepsy, RBD, PLM, NFLE, and insomnia subjects, respectively while categorizing A subphases (A1, A2, A3). The proposed method may help sleep experts to examine a person's sleep quality automatically using the microstructure of sleep.  © 2013 IEEE.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85161024532"
"Karamanou A.; Kalampokis E.; Tarabanis K.","Karamanou, Areti (50261804900); Kalampokis, Evangelos (24766142200); Tarabanis, Konstantinos (6603842415)","50261804900; 24766142200; 6603842415","Linked Open Government Data to Predict and Explain House Prices: The Case of Scottish Statistics Portal","2022","Big Data Research","30","","100355","","","","15","10.1016/j.bdr.2022.100355","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140298765&doi=10.1016%2fj.bdr.2022.100355&partnerID=40&md5=5cee545da7b0d4b8d1c398ae57a29d5b","Accurately estimating the prices of houses is important for various stakeholders including house owners, real estate agencies, government agencies, and policy-makers. Towards this end, traditional statistics and, only recently, advanced machine learning and artificial intelligence models are used. Open Government Data (OGD) have a huge potential especially when combined with AI technologies. OGD are often published as linked data to facilitate data integration and re-usability. EXplainable Artificial Intelligence (XAI) can be used by stakeholders to understand the decisions of a predictive model. This work creates a model that predicts house prices by applying machine learning on linked OGD. We present a case study that uses XGBoost, a powerful machine learning algorithm, and linked OGD from the official Scottish data portal to predict the probability the mean prices of houses in the various data zones of Scotland to be higher than the average price in Scotland. XAI is also used to globally and locally explain the decisions of the model. The created model has Receiver Operating Characteristic (ROC) AUC score 0.923 and Precision Recall Curve (PRC) AUC score 0.891. According to XAI, the variable that mostly affects the decisions of the model is Comparative Illness Factor, an indicator of health conditions. However, local explainability shows that the decisions made in some data zones may be mostly affected by other variables such as the percent of detached dwellings and employment deprived population. © 2022 Elsevier Inc.","Article","Final","","Scopus","2-s2.0-85140298765"
